,current,potential,elapsed_time,applied_potential,current_range,segment
0,-0.00022819011064711958,-1.0986220836639404,0.13,-1.100000023841858,0.02,0.0
1,-0.00020058653899468482,-1.0973951816558838,0.26,-1.0987000465393066,0.02,0.0
2,-0.0001870914566097781,-1.0961683988571167,0.39,-1.0974000692367554,0.02,0.0
3,-0.00017420979565940797,-1.0946348905563354,0.52,-1.0960999727249146,0.02,0.0
4,-0.00016562201199121773,-1.0934079885482788,0.65,-1.0947999954223633,0.02,0.0
5,-0.00015948788495734334,-1.0921812057495117,0.78,-1.093500018119812,0.02,0.0
6,-0.0001558074145577848,-1.0903409719467163,0.91,-1.0922000408172607,0.02,0.0
7,-0.0001509001012891531,-1.0894209146499634,1.04,-1.0909000635147095,0.02,0.0
8,-0.00014844645920675248,-1.0878872871398926,1.17,-1.0895999670028687,0.02,0.0
9,-0.00014108550385572016,-1.0869672298431396,1.3,-1.0882999897003174,0.02,0.0
10,-0.00013679161202162504,-1.0854337215423584,1.43,-1.0870000123977661,0.02,0.0
11,-0.00013188431330490857,-1.0839000940322876,1.56,-1.0857000350952148,0.02,0.0
12,-0.00013127090642228723,-1.0826733112335205,1.69,-1.0844000577926636,0.02,0.0
13,-0.00012820384290535003,-1.0814465284347534,1.82,-1.0831000804901123,0.02,0.0
14,-0.00012452335795387626,-1.080526351928711,1.95,-1.0817999839782715,0.02,0.0
15,-0.00011961605923715979,-1.0789928436279297,2.08,-1.0805000066757202,0.02,0.0
16,-0.00011777582403738052,-1.0774593353271484,2.21,-1.079200029373169,0.02,0.0
17,-0.00011470876052044332,-1.076539158821106,2.34,-1.0779000520706177,0.02,0.0
18,-0.0001134819322032854,-1.0750056505203247,2.47,-1.0766000747680664,0.02,0.0
19,-0.00011286851804470643,-1.0734721422195435,2.6,-1.0752999782562256,0.02,0.0
20,-0.00011102828284492716,-1.0728586912155151,2.73,-1.0740000009536743,0.02,0.0
21,-0.00010550756996963173,-1.0710184574127197,2.86,-1.072700023651123,0.02,0.0
22,-0.00010244050645269454,-1.0700984001159668,2.99,-1.0714000463485718,0.02,0.0
23,-0.00010060026397695765,-1.0685648918151855,3.12,-1.0701000690460205,0.02,0.0
24,-9.937344293575734e-05,-1.0670312643051147,3.25,-1.0687999725341797,0.02,0.0
25,-9.876002877717838e-05,-1.0661112070083618,3.38,-1.0674999952316284,0.02,0.0
26,-9.69197935773991e-05,-1.0645776987075806,3.51,-1.0662000179290771,0.02,0.0
27,-9.201248758472502e-05,-1.0630440711975098,3.64,-1.0649000406265259,0.02,0.0
28,-9.017225238494575e-05,-1.0621240139007568,3.77,-1.0636000633239746,0.02,0.0
29,-8.894542406778783e-05,-1.0608972311019897,3.9,-1.0622999668121338,0.02,0.0
30,-8.894542406778783e-05,-1.0590568780899048,4.03,-1.0609999895095825,0.02,0.0
31,-8.894542406778783e-05,-1.0581368207931519,4.16,-1.0597000122070312,0.02,0.0
32,-8.526494639227167e-05,-1.0572166442871094,4.29,-1.05840003490448,0.02,0.0
33,-8.097106183413416e-05,-1.0550698041915894,4.42,-1.0571000576019287,0.02,0.0
34,-7.974423351697624e-05,-1.0547630786895752,4.55,-1.055799961090088,0.02,0.0
35,-7.974423351697624e-05,-1.0526161193847656,4.68,-1.0544999837875366,0.02,0.0
36,-7.974423351697624e-05,-1.0520026683807373,4.81,-1.0532000064849854,0.02,0.0
37,-7.790399831719697e-05,-1.050469160079956,4.94,-1.051900029182434,0.02,0.0
38,-7.545034895883873e-05,-1.0489356517791748,5.07,-1.0506000518798828,0.02,0.0
39,-7.238328544190153e-05,-1.0477087497711182,5.2,-1.0493000745773315,0.02,0.0
40,-7.115645712474361e-05,-1.046481966972351,5.33,-1.0479999780654907,0.02,0.0
41,-7.054304296616465e-05,-1.0455619096755981,5.46,-1.0467000007629395,0.02,0.0
42,-7.115645712474361e-05,-1.0443350076675415,5.59,-1.0454000234603882,0.02,0.0
43,-6.99296360835433e-05,-1.042188048362732,5.72,-1.044100046157837,0.02,0.0
44,-6.68625725666061e-05,-1.041267991065979,5.85,-1.0428000688552856,0.02,0.0
45,-6.563574424944818e-05,-1.0400410890579224,5.98,-1.0414999723434448,0.02,0.0
46,-6.379550904966891e-05,-1.0388143062591553,6.11,-1.0401999950408936,0.02,0.0
47,-6.379550904966891e-05,-1.037280797958374,6.24,-1.0389000177383423,0.02,0.0
48,-6.318209489108995e-05,-1.0363606214523315,6.37,-1.037600040435791,0.02,0.0
49,-6.318209489108995e-05,-1.0345203876495361,6.5,-1.0363000631332397,0.02,0.0
50,-6.011503137415275e-05,-1.0336003303527832,6.63,-1.034999966621399,0.02,0.0
51,-5.8888203056994826e-05,-1.0323734283447266,6.76,-1.0336999893188477,0.02,0.0
52,-5.7047967857215554e-05,-1.0308399200439453,6.89,-1.0324000120162964,0.02,0.0
53,-5.7047967857215554e-05,-1.0296131372451782,7.02,-1.0311000347137451,0.02,0.0
54,-5.766137837781571e-05,-1.0283863544464111,7.15,-1.0298000574111938,0.02,0.0
55,-5.766137837781571e-05,-1.0268527269363403,7.28,-1.028499960899353,0.02,0.0
56,-5.459431486087851e-05,-1.0256259441375732,7.41,-1.0271999835968018,0.02,0.0
57,-5.214066550252028e-05,-1.024092435836792,7.54,-1.0259000062942505,0.02,0.0
58,-5.1527251343941316e-05,-1.0234789848327637,7.67,-1.0246000289916992,0.02,0.0
59,-5.214066550252028e-05,-1.0216387510299683,7.8,-1.023300051689148,0.02,0.0
60,-5.214066550252028e-05,-1.0207186937332153,7.93,-1.0220000743865967,0.02,0.0
61,-5.214066550252028e-05,-1.0191850662231445,8.06,-1.0206999778747559,0.02,0.0
62,-4.7233363147825e-05,-1.0179582834243774,8.19,-1.0194000005722046,0.02,0.0
63,-4.7233363147825e-05,-1.016118049621582,8.32,-1.0181000232696533,0.02,0.0
64,-4.6006538468645886e-05,-1.0151978731155396,8.45,-1.016800045967102,0.02,0.0
65,-4.7233363147825e-05,-1.0136643648147583,8.58,-1.0155000686645508,0.02,0.0
66,-4.661995262722485e-05,-1.0124375820159912,8.71,-1.01419997215271,0.02,0.0
67,-4.7233363147825e-05,-1.0112107992172241,8.84,-1.0128999948501587,0.02,0.0
68,-4.293947495170869e-05,-1.0096771717071533,8.97,-1.0116000175476074,0.02,0.0
69,-4.355288911028765e-05,-1.0087571144104004,9.1,-1.0103000402450562,0.02,0.0
70,-4.293947495170869e-05,-1.008143663406372,9.23,-1.0090000629425049,0.02,0.0
71,-4.355288911028765e-05,-1.0059967041015625,9.36,-1.007699966430664,0.02,0.0
72,-4.293947495170869e-05,-1.0047699213027954,9.49,-1.0063999891281128,0.02,0.0
73,-4.293947495170869e-05,-1.003849744796753,9.62,-1.0051000118255615,0.02,0.0
74,-3.8645586755592376e-05,-1.0023162364959717,9.75,-1.0038000345230103,0.02,0.0
75,-3.925899727619253e-05,-1.0010894536972046,9.88,-1.002500057220459,0.02,0.0
76,-3.8032172597013414e-05,-0.9995558857917786,10.01,-1.0011999607086182,0.02,0.0
77,-4.0485825593350455e-05,-0.9977156519889832,10.14,-0.9999000430107117,0.02,0.0
78,-3.987241143477149e-05,-0.9971022605895996,10.27,-0.9986000061035156,0.02,0.0
79,-3.987241143477149e-05,-0.9961821436882019,10.4,-0.9973000288009644,0.02,0.0
80,-3.6191933759255335e-05,-0.9940351843833923,10.53,-0.9959999918937683,0.02,0.0
81,-3.6191933759255335e-05,-0.9931150674819946,10.66,-0.994700014591217,0.02,0.0
82,-3.557852323865518e-05,-0.9918882250785828,10.79,-0.9934000372886658,0.02,0.0
83,-3.68053479178343e-05,-0.9903547167778015,10.92,-0.9921000003814697,0.02,0.0
84,-3.6191933759255335e-05,-0.9888212084770203,11.05,-0.9908000230789185,0.02,0.0
85,-3.68053479178343e-05,-0.9879010915756226,11.18,-0.9894999861717224,0.02,0.0
86,-3.435169855947606e-05,-0.9866742491722107,11.31,-0.9882000088691711,0.02,0.0
87,-3.312487024231814e-05,-0.9851406812667847,11.44,-0.9869000315666199,0.02,0.0
88,-3.312487024231814e-05,-0.9839138984680176,11.57,-0.9855999946594238,0.02,0.0
89,-3.37382844008971e-05,-0.9826870560646057,11.7,-0.9843000173568726,0.02,0.0
90,-3.435169855947606e-05,-0.981766939163208,11.83,-0.9830000400543213,0.02,0.0
91,-3.496510908007622e-05,-0.9802334308624268,11.96,-0.9817000031471252,0.02,0.0
92,-3.1284635042538866e-05,-0.9790065884590149,12.09,-0.980400025844574,0.02,0.0
93,-2.9444396204780787e-05,-0.9774730205535889,12.22,-0.9790999889373779,0.02,0.0
94,-3.1284635042538866e-05,-0.9759395122528076,12.35,-0.9778000116348267,0.02,0.0
95,-3.0671220883959904e-05,-0.9747126698493958,12.48,-0.9765000343322754,0.02,0.0
96,-3.0671220883959904e-05,-0.973792552947998,12.61,-0.9751999974250793,0.02,0.0
97,-3.1284635042538866e-05,-0.972565770149231,12.74,-0.9739000201225281,0.02,0.0
98,-2.7604157367022708e-05,-0.9710322022438049,12.87,-0.972599983215332,0.02,0.0
99,-2.699074502743315e-05,-0.9698054194450378,13.0,-0.9713000059127808,0.02,0.0
100,-2.9444396204780787e-05,-0.968578577041626,13.13,-0.9700000286102295,0.02,0.0
101,-2.883098386519123e-05,-0.9673517346382141,13.26,-0.9686999917030334,0.02,0.0
102,-2.9444396204780787e-05,-0.9658182263374329,13.39,-0.9674000144004822,0.02,0.0
103,-2.8217569706612267e-05,-0.964591383934021,13.52,-0.9661000370979309,0.02,0.0
104,-2.5150508008664474e-05,-0.9630578756332397,13.65,-0.9648000001907349,0.02,0.0
105,-2.5763920348254032e-05,-0.9615243077278137,13.78,-0.9635000228881836,0.02,0.0
106,-2.637733268784359e-05,-0.9609109163284302,13.91,-0.9621999859809875,0.02,0.0
107,-2.699074502743315e-05,-0.9593773484230042,14.04,-0.9609000086784363,0.02,0.0
108,-2.699074502743315e-05,-0.9578438401222229,14.17,-0.959600031375885,0.02,0.0
109,-2.5150508008664474e-05,-0.9569237232208252,14.3,-0.958299994468689,0.02,0.0
110,-2.4537093850085512e-05,-0.9556968808174133,14.43,-0.9570000171661377,0.02,0.0
111,-2.5150508008664474e-05,-0.9541633725166321,14.56,-0.9557000398635864,0.02,0.0
112,-2.5150508008664474e-05,-0.9532432556152344,14.69,-0.9544000029563904,0.02,0.0
113,-2.5763920348254032e-05,-0.9517097473144531,14.82,-0.9531000256538391,0.02,0.0
114,-2.4537093850085512e-05,-0.9504829049110413,14.95,-0.9517999887466431,0.02,0.0
115,-2.3310269170906395e-05,-0.9486426711082458,15.08,-0.9505000114440918,0.02,0.0
116,-2.2696856831316836e-05,-0.9477225542068481,15.21,-0.9492000341415405,0.02,0.0
117,-2.2083444491727278e-05,-0.9468024373054504,15.34,-0.9478999972343445,0.02,0.0
118,-2.3310269170906395e-05,-0.9452688694000244,15.47,-0.9466000199317932,0.02,0.0
119,-2.3923681510495953e-05,-0.9446554780006409,15.6,-0.9452999830245972,0.02,0.0
120,-2.3923681510495953e-05,-0.9422017931938171,15.73,-0.9440000057220459,0.02,0.0
121,-2.0856617993558757e-05,-0.9406682848930359,15.86,-0.9427000284194946,0.02,0.0
122,-2.0856617993558757e-05,-0.9403615593910217,15.99,-0.9413999915122986,0.02,0.0
123,-1.962979331437964e-05,-0.9385213255882263,16.12,-0.9401000142097473,0.02,0.0
124,-2.0856617993558757e-05,-0.9369878172874451,16.25,-0.938800036907196,0.02,0.0
125,-2.0856617993558757e-05,-0.9360677003860474,16.38,-0.9375,0.02,0.0
126,-2.1470030333148316e-05,-0.9348408579826355,16.51,-0.9362000226974487,0.02,0.0
127,-1.8402968635200523e-05,-0.9336140155792236,16.64,-0.9348999857902527,0.02,0.0
128,-1.8402968635200523e-05,-0.9323872327804565,16.77,-0.9336000084877014,0.02,0.0
129,-1.901638097479008e-05,-0.9311603903770447,16.9,-0.9323000311851501,0.02,0.0
130,-1.962979331437964e-05,-0.9293201565742493,17.03,-0.9309999942779541,0.02,0.0
131,-1.962979331437964e-05,-0.9284000396728516,17.16,-0.9297000169754028,0.02,0.0
132,-1.901638097479008e-05,-0.9268665313720703,17.29,-0.9283999800682068,0.02,0.0
133,-1.6562729797442444e-05,-0.9253329634666443,17.42,-0.9271000027656555,0.02,0.0
134,-1.7176142137032002e-05,-0.9244128465652466,17.55,-0.9258000254631042,0.02,0.0
135,-1.5949317457852885e-05,-0.9228793382644653,17.68,-0.9244999885559082,0.02,0.0
136,-1.7176142137032002e-05,-0.9216524958610535,17.81,-0.9232000112533569,0.02,0.0
137,-1.778955447662156e-05,-0.9201189875602722,17.94,-0.9219000339508057,0.02,0.0
138,-1.778955447662156e-05,-0.9191988706588745,18.07,-0.9205999970436096,0.02,0.0
139,-1.4109078620094806e-05,-0.9179720282554626,18.2,-0.9193000197410583,0.02,0.0
140,-1.4109078620094806e-05,-0.9167451858520508,18.33,-0.9179999828338623,0.02,0.0
141,-1.4109078620094806e-05,-0.9152116775512695,18.46,-0.916700005531311,0.02,0.0
142,-1.4109078620094806e-05,-0.9139848351478577,18.59,-0.9154000282287598,0.02,0.0
143,-1.4109078620094806e-05,-0.9127579927444458,18.72,-0.9140999913215637,0.02,0.0
144,-1.4109078620094806e-05,-0.9112244844436646,18.85,-0.9128000140190125,0.02,0.0
145,-1.0428602763568051e-05,-0.9096909761428833,18.98,-0.9114999771118164,0.02,0.0
146,-1.0428602763568051e-05,-0.909077525138855,19.11,-0.9101999998092651,0.02,0.0
147,-1.2268840691831429e-05,-0.9072372913360596,19.24,-0.9089000225067139,0.02,0.0
148,-1.165542835224187e-05,-0.9060104489326477,19.37,-0.9075999855995178,0.02,0.0
149,-1.1042016012652311e-05,-0.9047836661338806,19.5,-0.9063000082969666,0.02,0.0
150,-1.0428602763568051e-05,-0.9038635492324829,19.63,-0.9050000309944153,0.02,0.0
151,-7.361539701378206e-06,-0.9020233154296875,19.76,-0.9036999940872192,0.02,0.0
152,-6.748126907041296e-06,-0.9011031985282898,19.89,-0.902400016784668,0.02,0.0
153,-7.974952495715115e-06,-0.8992629051208496,20.02,-0.9010999798774719,0.02,0.0
154,-7.361539701378206e-06,-0.8983427882194519,20.15,-0.8998000025749207,0.02,0.0
155,-6.748126907041296e-06,-0.8971160054206848,20.28,-0.8985000252723694,0.02,0.0
156,-5.5213013183674775e-06,-0.8955824375152588,20.41,-0.8971999883651733,0.02,0.0
157,-3.067650823140866e-06,-0.8943556547164917,20.54,-0.8959000110626221,0.02,0.0
158,-3.067650823140866e-06,-0.8937422037124634,20.67,-0.8946000337600708,0.02,0.0
