,current,potential,elapsed_time,applied_potential,current_range,segment
0,-1.8408253765755944e-07,-0.7321079969406128,1.0,0.0,0.002,0.0
1,-1.2274126959255227e-07,-0.7321079969406128,2.0,0.0,0.002,0.0
2,-1.8408253765755944e-07,-0.7327213883399963,3.0,0.0,0.002,0.0
3,-1.8408253765755944e-07,-0.7324146628379822,4.0,0.0,0.002,0.0
4,-1.8408253765755944e-07,-0.7324146628379822,5.0,0.0,0.002,0.0
5,-3.0676505957671907e-07,-0.7330281138420105,6.0,0.0,0.002,0.0
6,-1.8408253765755944e-07,-0.7333347797393799,7.0,0.0,0.002,0.0
7,-1.8408253765755944e-07,-0.7321079969406128,8.0,0.0,0.002,0.0
8,-2.454237915117119e-07,-0.7333347797393799,9.0,0.0,0.002,0.0
9,-1.8408253765755944e-07,-0.733641505241394,10.0,0.0,0.002,0.0
10,-1.8408253765755944e-07,-0.7327213883399963,11.0,0.0,0.002,0.0
11,-2.454237915117119e-07,-0.7327213883399963,12.0,0.0,0.002,0.0
12,-1.8408253765755944e-07,-0.7342548966407776,13.0,0.0,0.002,0.0
13,-1.2274126959255227e-07,-0.7333347797393799,14.0,0.0,0.002,0.0
14,-1.8408253765755944e-07,-0.733641505241394,15.0,0.0,0.002,0.0
15,-2.454237915117119e-07,-0.7345616221427917,16.0,0.0,0.002,0.0
16,-1.8408253765755944e-07,-0.7348683476448059,17.0,0.0,0.002,0.0
17,-2.454237915117119e-07,-0.7342548966407776,18.0,0.0,0.002,0.0
18,-2.454237915117119e-07,-0.7360951900482178,19.0,0.0,0.002,0.0
19,-6.14000015275451e-08,-0.7364018559455872,20.0,0.0,0.002,0.0
20,-1.8408253765755944e-07,-0.7354817390441895,21.0,0.0,0.002,0.0
21,-1.2274126959255227e-07,-0.7360951900482178,22.0,0.0,0.002,0.0
22,-1.8408253765755944e-07,-0.7379354238510132,23.0,0.0,0.002,0.0
23,-1.2274126959255227e-07,-0.7373219728469849,24.0,0.0,0.002,0.0
24,-1.8408253765755944e-07,-0.7373219728469849,25.0,0.0,0.002,0.0
25,-1.8408253765755944e-07,-0.7391622066497803,26.0,0.0,0.002,0.0
26,-1.8408253765755944e-07,-0.7394689321517944,27.0,0.0,0.002,0.0
27,-1.8408253765755944e-07,-0.7391622066497803,28.0,0.0,0.002,0.0
28,-1.8408253765755944e-07,-0.7403890490531921,29.0,0.0,0.002,0.0
29,-2.454237915117119e-07,-0.7403890490531921,30.0,0.0,0.002,0.0
