timestamp,pH,pH_unit,mV,mV_unit,temperature,temperature_unit,slope,slope_unit
2020-11-24 19:38:04.807,10.92,pH,-217.6,mV,25.0,C,91.9,%
2020-11-24 19:38:09.611,10.93,pH,-218.2,mV,25.0,C,91.9,%
2020-11-24 19:38:15.015,10.94,pH,-218.4,mV,25.0,C,91.9,%
2020-11-24 19:38:19.818,10.94,pH,-218.7,mV,25.0,C,91.9,%
2020-11-24 19:38:24.622,10.95,pH,-218.9,mV,25.0,C,91.9,%
2020-11-24 19:38:30.626,10.95,pH,-219.2,mV,25.0,C,91.9,%
2020-11-24 19:38:34.828,10.95,pH,-219.3,mV,25.0,C,91.9,%
2020-11-24 19:38:39.632,10.95,pH,-219.4,mV,25.0,C,91.9,%
