,x,y,flow
0,0,0,"{'KOH': 1, 'K2SO4': 0}"
1,0,10,"{'KOH': 0.3, 'K2SO4': 0.7}"
2,0,20,"{'KOH': 0.1, 'K2SO4': 0.9}"
3,0,30,"{'KOH': 0.03, 'K2SO4': 0.97}"
4,10,0,"{'KOH': 0.01, 'K2SO4': 0.99}"
5,10,10,"{'KOH': 0.003, 'K2SO4': 0.997}"
6,10,20,{'K2SO4': 1.0}
7,10,30,"{'H2SO4': 0.003, 'K2SO4': 0.997}"
8,20,0,"{'H2SO4': 0.01, 'K2SO4': 0.99}"
9,20,10,"{'H2SO4': 0.03, 'K2SO4': 0.97}"
10,20,20,"{'H2SO4': 0.1, 'K2SO4': 0.9}"
11,20,30,"{'H2SO4': 0.3, 'K2SO4': 0.7}"
12,30,0,"{'H2SO4': 1, 'K2SO4': 0}"
