,current,potential,elapsed_time,applied_potential,current_range,segment
0,-3.0130836421449203e-06,-0.656964898109436,0.8,-0.6573102474212646,2e-05,0.0
1,-2.8701585961243836e-06,-0.6566582322120667,1.6,-0.6572102308273315,2e-05,0.0
2,-2.8370343443384627e-06,-0.6566582322120667,2.4,-0.6571102738380432,2e-05,0.0
3,-2.8634110549319303e-06,-0.6563515067100525,3.2,-0.6570102572441101,2e-05,0.0
4,-2.8781328182958532e-06,-0.6563515067100525,4.0,-0.656910240650177,2e-05,0.0
5,-2.8805866350012366e-06,-0.6563515067100525,4.8,-0.6568102240562439,2e-05,0.0
6,-2.825379397108918e-06,-0.6560447812080383,5.6,-0.6567102670669556,2e-05,0.0
7,-2.7609710286924383e-06,-0.6560447812080383,6.4,-0.6566102504730225,2e-05,0.0
8,-2.6818408969120355e-06,-0.6560447812080383,7.2,-0.6565102338790894,2e-05,0.0
9,-2.6303141567041166e-06,-0.655738115310669,8.0,-0.656410276889801,2e-05,0.0
10,-2.5168328647851013e-06,-0.655738115310669,8.8,-0.6563102602958679,2e-05,0.0
11,-2.44322336584446e-06,-0.655738115310669,9.6,-0.6562102437019348,2e-05,0.0
12,-2.3052054984873394e-06,-0.6554313898086548,10.4,-0.6561102271080017,2e-05,0.0
13,-2.1868168005312327e-06,-0.6554313898086548,11.2,-0.6560102701187134,2e-05,0.0
14,-2.0641341507143807e-06,-0.6554313898086548,12.0,-0.6559102535247803,2e-05,0.0
15,-1.923662694025552e-06,-0.6551246643066406,12.8,-0.6558102369308472,2e-05,0.0
16,-1.7831912373367231e-06,-0.6551246643066406,13.6,-0.6557102203369141,2e-05,0.0
17,-1.6439465753137483e-06,-0.6551246643066406,14.4,-0.6556102633476257,2e-05,0.0
18,-1.4709642073285067e-06,-0.6548179984092712,15.2,-0.6555102467536926,2e-05,0.0
19,-1.3593230505648535e-06,-0.6548179984092712,16.0,-0.6554102301597595,2e-05,0.0
20,-1.33233288579504e-06,-0.6548179984092712,16.8,-0.6553102731704712,2e-05,0.0
21,-1.3347865888135857e-06,-0.6545112729072571,17.6,-0.6552102565765381,2e-05,0.0
22,-1.375885176457814e-06,-0.6545112729072571,18.4,-0.655110239982605,2e-05,0.0
23,-1.4955006690797745e-06,-0.6542045474052429,19.2,-0.6550102233886719,2e-05,0.0
24,-1.554388290969655e-06,-0.6542045474052429,20.0,-0.6549102663993835,2e-05,0.0
25,-1.6329051959473873e-06,-0.6542045474052429,20.8,-0.6548102498054504,2e-05,0.0
26,-1.7598815702513093e-06,-0.6542045474052429,21.6,-0.6547102332115173,2e-05,0.0
27,-1.8298105715075508e-06,-0.6538978815078735,22.4,-0.654610276222229,2e-05,0.0
28,-1.992365014302777e-06,-0.6538978815078735,23.2,-0.6545102596282959,2e-05,0.0
29,-2.077016006296617e-06,-0.6538978815078735,24.0,-0.6544102430343628,2e-05,0.0
30,-2.096645175697631e-06,-0.6535911560058594,24.8,-0.6543102264404297,2e-05,0.0
31,-2.077016006296617e-06,-0.6535911560058594,25.6,-0.6542102694511414,2e-05,0.0
32,-2.0500258415268036e-06,-0.6535911560058594,26.4,-0.6541102528572083,2e-05,0.0
33,-1.9549468106561108e-06,-0.6532844305038452,27.2,-0.6540102362632751,2e-05,0.0
34,-1.8972859834320843e-06,-0.6532844305038452,28.0,-0.653910219669342,2e-05,0.0
35,-1.7893253243528306e-06,-0.6532844305038452,28.8,-0.6538102626800537,2e-05,0.0
36,-1.6721635347494157e-06,-0.6532844305038452,29.6,-0.6537102460861206,2e-05,0.0
37,-1.5365993704108405e-06,-0.6529777646064758,30.4,-0.6536102294921875,2e-05,0.0
38,-1.3893802588427207e-06,-0.6529777646064758,31.2,-0.6535102725028992,2e-05,0.0
39,-1.247682007488038e-06,-0.6529777646064758,32.0,-0.6534102559089661,2e-05,0.0
40,-1.163031015494198e-06,-0.6526710391044617,32.8,-0.653310239315033,2e-05,0.0
41,-1.1053701882701716e-06,-0.6526710391044617,33.6,-0.6532102227210999,2e-05,0.0
42,-1.1023031447621179e-06,-0.6523643136024475,34.4,-0.6531102657318115,2e-05,0.0
43,-1.110277594307263e-06,-0.6523643136024475,35.2,-0.6530102491378784,2e-05,0.0
44,-1.0863544730455033e-06,-0.6523643136024475,36.0,-0.6529102325439453,2e-05,0.0
45,-1.1194787248314242e-06,-0.6523643136024475,36.8,-0.652810275554657,2e-05,0.0
46,-1.1832736390715581e-06,-0.6520576477050781,37.6,-0.6527102589607239,2e-05,0.0
47,-1.257496592188545e-06,-0.6520576477050781,38.4,-0.6526102423667908,2e-05,0.0
48,-1.363003548249253e-06,-0.651750922203064,39.2,-0.6525102257728577,2e-05,0.0
49,-1.4396802043847856e-06,-0.651750922203064,40.0,-0.6524102687835693,2e-05,0.0
50,-1.5378261650766945e-06,-0.651750922203064,40.8,-0.6523102521896362,2e-05,0.0
51,-1.6451733699796023e-06,-0.651750922203064,41.6,-0.6522102355957031,2e-05,0.0
52,-1.722463366604643e-06,-0.651750922203064,42.4,-0.65211021900177,2e-05,0.0
53,-1.7586547755854554e-06,-0.6514441967010498,43.2,-0.6520102620124817,2e-05,0.0
54,-1.699767153695575e-06,-0.6514441967010498,44.0,-0.6519102454185486,2e-05,0.0
55,-1.6194101135624805e-06,-0.6511375308036804,44.8,-0.6518102288246155,2e-05,0.0
56,-1.5365993704108405e-06,-0.6511375308036804,45.6,-0.6517102718353271,2e-05,0.0
57,-1.4525618325933465e-06,-0.6508308053016663,46.4,-0.651610255241394,2e-05,0.0
58,-1.3446011735140928e-06,-0.6508308053016663,47.2,-0.6515102386474609,2e-05,0.0
59,-1.290620843974466e-06,-0.6508308053016663,48.0,-0.6514102220535278,2e-05,0.0
60,-1.2108772580177174e-06,-0.6508308053016663,48.8,-0.6513102650642395,2e-05,0.0
61,-1.088194721887703e-06,-0.6505240797996521,49.6,-0.6512102484703064,2e-05,0.0
62,-1.0096778169099707e-06,-0.6505240797996521,50.4,-0.6511102318763733,2e-05,0.0
63,-9.053977123585355e-07,-0.6502174139022827,51.2,-0.651010274887085,2e-05,0.0
64,-8.26880864224222e-07,-0.6502174139022827,52.0,-0.6509102582931519,2e-05,0.0
65,-7.900761147539015e-07,-0.6502174139022827,52.8,-0.6508102416992188,2e-05,0.0
66,-8.133857818393153e-07,-0.6502174139022827,53.6,-0.6507102251052856,2e-05,0.0
67,-8.422161954513285e-07,-0.6502174139022827,54.4,-0.6506102681159973,2e-05,0.0
68,-8.667527140460152e-07,-0.6499106884002686,55.2,-0.6505102515220642,2e-05,0.0
69,-9.268671306017495e-07,-0.6499106884002686,56.0,-0.6504102349281311,2e-05,0.0
70,-9.612182338969433e-07,-0.6499106884002686,56.8,-0.650310218334198,2e-05,0.0
71,-1.0029302757175174e-06,-0.6496039628982544,57.6,-0.6502102613449097,2e-05,0.0
72,-1.0556838105912902e-06,-0.6496039628982544,58.4,-0.6501102447509766,2e-05,0.0
73,-1.100462895919918e-06,-0.6492972373962402,59.2,-0.6500102281570435,2e-05,0.0
74,-1.1556700201253989e-06,-0.6492972373962402,60.0,-0.6499102711677551,2e-05,0.0
75,-1.163031015494198e-06,-0.6492972373962402,60.8,-0.649810254573822,2e-05,0.0
76,-1.1777528925449587e-06,-0.6489905714988708,61.6,-0.6497102379798889,2e-05,0.0
77,-1.1489225926197832e-06,-0.6489905714988708,62.4,-0.6496102213859558,2e-05,0.0
78,-1.0845142242033035e-06,-0.6489905714988708,63.2,-0.6495102643966675,2e-05,0.0
79,-9.740999757923419e-07,-0.6489905714988708,64.0,-0.6494102478027344,2e-05,0.0
80,-9.060111096914625e-07,-0.6486838459968567,64.8,-0.6493102312088013,2e-05,0.0
81,-8.103187383312616e-07,-0.6486838459968567,65.6,-0.6492102742195129,2e-05,0.0
82,-7.293482440218213e-07,-0.6483771204948425,66.4,-0.6491102576255798,2e-05,0.0
83,-5.851962896485929e-07,-0.6483771204948425,67.2,-0.6490102410316467,2e-05,0.0
84,-4.612869304310152e-07,-0.6483771204948425,68.0,-0.6489102244377136,2e-05,0.0
85,-3.754091437713214e-07,-0.6480704545974731,68.8,-0.6488102674484253,2e-05,0.0
86,-3.011862190760439e-07,-0.6480704545974731,69.6,-0.6487102508544922,2e-05,0.0
87,-2.2757669171369344e-07,-0.6480704545974731,70.4,-0.6486102342605591,2e-05,0.0
88,-1.3679161270374607e-07,-0.647763729095459,71.2,-0.6485102772712708,2e-05,0.0
89,-1.0182709075934326e-07,-0.647763729095459,72.0,-0.6484102606773376,2e-05,0.0
90,-1.3617820115996437e-07,-0.6474570035934448,72.8,-0.6483102440834045,2e-05,0.0
91,-1.5274034126377956e-07,-0.6474570035934448,73.6,-0.6482102274894714,2e-05,0.0
92,-1.8402438684006484e-07,-0.6474570035934448,74.4,-0.6481102705001831,2e-05,0.0
93,-1.7298296484113962e-07,-0.6474570035934448,75.2,-0.64801025390625,2e-05,0.0
94,-2.2266938515258516e-07,-0.6471503376960754,76.0,-0.6479102373123169,2e-05,0.0
95,-2.9259842904139077e-07,-0.6471503376960754,76.8,-0.6478102207183838,2e-05,0.0
96,-3.2817638384585734e-07,-0.6471503376960754,77.6,-0.6477102637290955,2e-05,0.0
97,-3.9687859043624485e-07,-0.6471503376960754,78.4,-0.6476102471351624,2e-05,0.0
98,-4.2754922446874843e-07,-0.6468436121940613,79.2,-0.6475102305412292,2e-05,0.0
99,-4.5883328425588843e-07,-0.6468436121940613,80.0,-0.6474102735519409,2e-05,0.0
100,-4.330699425736384e-07,-0.6465368866920471,80.8,-0.6473102569580078,2e-05,0.0
101,-3.9810541352380824e-07,-0.6465368866920471,81.6,-0.6472102403640747,2e-05,0.0
102,-3.171349476360774e-07,-0.6465368866920471,82.4,-0.6471102237701416,2e-05,0.0
103,-2.054938335049883e-07,-0.6465368866920471,83.2,-0.6470102667808533,2e-05,0.0
104,-1.0121367921556157e-07,-0.6462302207946777,84.0,-0.6469102501869202,2e-05,0.0
105,-6.748126946121147e-09,-0.6462302207946777,84.8,-0.6468102335929871,2e-05,0.0
106,9.63052002589393e-08,-0.6459234952926636,85.6,-0.6467102766036987,2e-05,0.0
107,1.981317154786666e-07,-0.6459234952926636,86.4,-0.6466102600097656,2e-05,0.0
108,2.9137044066374074e-07,-0.6459234952926636,87.2,-0.6465102434158325,2e-05,0.0
109,3.833823427612515e-07,-0.6456167697906494,88.0,-0.6464102268218994,2e-05,0.0
110,4.968636631019763e-07,-0.6456167697906494,88.8,-0.6463102698326111,2e-05,0.0
111,5.710866162189632e-07,-0.6456167697906494,89.6,-0.646210253238678,2e-05,0.0
112,5.888755936211965e-07,-0.6456167697906494,90.4,-0.6461102366447449,2e-05,0.0
113,5.717000135518902e-07,-0.64531010389328,91.2,-0.6460102200508118,2e-05,0.0
114,5.195599328544631e-07,-0.64531010389328,92.0,-0.6459102630615234,2e-05,0.0
115,4.496309031765122e-07,-0.64531010389328,92.8,-0.6458102464675903,2e-05,0.0
116,4.1589319721424545e-07,-0.6450033783912659,93.6,-0.6457102298736572,2e-05,0.0
117,4.0178471749641176e-07,-0.6450033783912659,94.4,-0.6456102728843689,2e-05,0.0
118,3.3246908515138784e-07,-0.6450033783912659,95.2,-0.6455102562904358,2e-05,0.0
119,3.514848856411845e-07,-0.6446966528892517,96.0,-0.6454102396965027,2e-05,0.0
120,2.993448049437575e-07,-0.6446966528892517,96.8,-0.6453102231025696,2e-05,0.0
121,2.551790885263472e-07,-0.6446966528892517,97.6,-0.6452102661132812,2e-05,0.0
122,2.508851935090206e-07,-0.6443899869918823,98.4,-0.6451102495193481,2e-05,0.0
123,2.7971560712103383e-07,-0.6443899869918823,99.2,-0.645010232925415,2e-05,0.0
124,3.1897400276648114e-07,-0.6440832614898682,100.0,-0.6449102759361267,2e-05,0.0
125,4.1343955103911867e-07,-0.6440832614898682,100.8,-0.6448102593421936,2e-05,0.0
126,4.686467036663089e-07,-0.6440832614898682,101.6,-0.6447102427482605,2e-05,0.0
127,5.747671139033628e-07,-0.6440832614898682,102.4,-0.6446102261543274,2e-05,0.0
128,6.557375513693842e-07,-0.643776535987854,103.2,-0.6445102691650391,2e-05,0.0
129,7.471360845556774e-07,-0.643776535987854,104.0,-0.644410252571106,2e-05,0.0
130,8.440552505817323e-07,-0.643776535987854,104.8,-0.6443102359771729,2e-05,0.0
131,9.397476219419332e-07,-0.6434698700904846,105.6,-0.6442102193832397,2e-05,0.0
132,1.0127437235496473e-06,-0.6434698700904846,106.4,-0.6441102623939514,2e-05,0.0
133,1.1041422567359405e-06,-0.6434698700904846,107.2,-0.6440102458000183,2e-05,0.0
134,1.1648701274680207e-06,-0.6431631445884705,108.0,-0.6439102292060852,2e-05,0.0
135,1.191860292237834e-06,-0.6431631445884705,108.8,-0.6438102722167969,2e-05,0.0
136,1.215783299812756e-06,-0.6431631445884705,109.6,-0.6437102556228638,2e-05,0.0
137,1.2010614227619953e-06,-0.6428564190864563,110.4,-0.6436102390289307,2e-05,0.0
138,1.1501481367304223e-06,-0.6428564190864563,111.2,-0.6435102224349976,2e-05,0.0
139,1.1446275038906606e-06,-0.6428564190864563,112.0,-0.6434102654457092,2e-05,0.0
140,1.1243848803133005e-06,-0.6428564190864563,112.8,-0.6433102488517761,2e-05,0.0
141,1.0949410125249415e-06,-0.6425497531890869,113.6,-0.643210232257843,2e-05,0.0
142,1.067950847755128e-06,-0.6425497531890869,114.4,-0.6431102752685547,2e-05,0.0
143,9.83913309937634e-07,-0.6425497531890869,115.2,-0.6430102586746216,2e-05,0.0
144,9.986353006752324e-07,-0.6422430276870728,116.0,-0.6429102420806885,2e-05,0.0
145,9.685779787105275e-07,-0.6422430276870728,116.8,-0.6428102254867554,2e-05,0.0
146,9.63670686360274e-07,-0.6419363021850586,117.6,-0.642710268497467,2e-05,0.0
147,1.0066096365335397e-06,-0.6419363021850586,118.4,-0.6426102519035339,2e-05,0.0
148,1.0648838042470743e-06,-0.6419363021850586,119.2,-0.6425102353096008,2e-05,0.0
149,1.1262251291555003e-06,-0.6416296362876892,120.0,-0.6424102187156677,2e-05,0.0
150,1.2176235486549558e-06,-0.6416296362876892,120.8,-0.6423102617263794,2e-05,0.0
151,1.3672962495547836e-06,-0.6416296362876892,121.6,-0.6422102451324463,2e-05,0.0
152,1.5059275710882503e-06,-0.641322910785675,122.4,-0.6421102285385132,2e-05,0.0
153,1.6108210729726125e-06,-0.641322910785675,123.2,-0.6420102715492249,2e-05,0.0
154,1.795458274500561e-06,-0.641322910785675,124.0,-0.6419102549552917,2e-05,0.0
155,1.8531191017245874e-06,-0.6410161852836609,124.8,-0.6418102383613586,2e-05,0.0
156,1.8948311435451615e-06,-0.6410161852836609,125.6,-0.6417102217674255,2e-05,0.0
157,1.933476141857682e-06,-0.6410161852836609,126.4,-0.6416102647781372,2e-05,0.0
158,1.963533350135549e-06,-0.6407094597816467,127.2,-0.6415102481842041,2e-05,0.0
159,1.9457445432635723e-06,-0.6407094597816467,128.0,-0.641410231590271,2e-05,0.0
160,1.908326339616906e-06,-0.6407094597816467,128.8,-0.6413102746009827,2e-05,0.0
161,1.8592533024275326e-06,-0.6407094597816467,129.6,-0.6412102580070496,2e-05,0.0
162,1.8408508140055346e-06,-0.6404027938842773,130.4,-0.6411102414131165,2e-05,0.0
163,1.8690678871280397e-06,-0.6404027938842773,131.2,-0.6410102248191833,2e-05,0.0
164,1.8187680552728125e-06,-0.6404027938842773,132.0,-0.640910267829895,2e-05,0.0
165,1.8003656805376522e-06,-0.6400960683822632,132.8,-0.6408102512359619,2e-05,0.0
166,1.7414780586477718e-06,-0.6400960683822632,133.6,-0.6407102346420288,2e-05,0.0
167,1.7095806015277049e-06,-0.6400960683822632,134.4,-0.6406102180480957,2e-05,0.0
168,1.7457718968216795e-06,-0.639789342880249,135.2,-0.6405102610588074,2e-05,0.0
169,1.8291959804628277e-06,-0.639789342880249,136.0,-0.6404102444648743,2e-05,0.0
170,1.898511641229561e-06,-0.639789342880249,136.8,-0.6403102278709412,2e-05,0.0
171,1.991750423258054e-06,-0.6394826769828796,137.6,-0.6402102708816528,2e-05,0.0
172,2.004018597290269e-06,-0.6394826769828796,138.4,-0.6401102542877197,2e-05,0.0
173,2.023034539888613e-06,-0.6394826769828796,139.2,-0.6400102376937866,2e-05,0.0
174,2.024874675043975e-06,-0.6391759514808655,140.0,-0.6399102210998535,2e-05,0.0
175,2.0727209175674943e-06,-0.6391759514808655,140.8,-0.6398102641105652,2e-05,0.0
176,2.1359023776312824e-06,-0.6391759514808655,141.6,-0.6397102475166321,2e-05,0.0
177,2.2432495825341903e-06,-0.6388692259788513,142.4,-0.639610230922699,2e-05,0.0
178,2.348756652281736e-06,-0.6388692259788513,143.2,-0.6395102739334106,2e-05,0.0
179,2.4285002382384846e-06,-0.6388692259788513,144.0,-0.6394102573394775,2e-05,0.0
180,2.485547611286165e-06,-0.6385625600814819,144.8,-0.6393102407455444,2e-05,0.0
181,2.490454789949581e-06,-0.6385625600814819,145.6,-0.6392102241516113,2e-05,0.0
182,2.4726659830776043e-06,-0.6382558345794678,146.4,-0.639110267162323,2e-05,0.0
183,2.4830940219544573e-06,-0.6382558345794678,147.2,-0.6390102505683899,2e-05,0.0
184,2.486161065462511e-06,-0.6382558345794678,148.0,-0.6389102339744568,2e-05,0.0
185,2.516831727916724e-06,-0.6382558345794678,148.8,-0.6388102769851685,2e-05,0.0
186,2.4849341571098194e-06,-0.6379491090774536,149.6,-0.6387102603912354,2e-05,0.0
187,2.4131647933245404e-06,-0.6379491090774536,150.4,-0.6386102437973022,2e-05,0.0
188,2.361638280490297e-06,-0.6379491090774536,151.2,-0.6385102272033691,2e-05,0.0
189,2.2812812403572025e-06,-0.6376424431800842,152.0,-0.6384102702140808,2e-05,0.0
190,2.24693008021859e-06,-0.6376424431800842,152.8,-0.6383102536201477,2e-05,0.0
191,2.2095118765719235e-06,-0.6373357176780701,153.6,-0.6382102370262146,2e-05,0.0
192,2.1684131752408575e-06,-0.6373357176780701,154.4,-0.6381102204322815,2e-05,0.0
193,2.2119654659036314e-06,-0.6373357176780701,155.2,-0.6380102634429932,2e-05,0.0
194,2.2757603801437654e-06,-0.6373357176780701,156.0,-0.6379102468490601,2e-05,0.0
195,2.3395552943838993e-06,-0.6370289921760559,156.8,-0.637810230255127,2e-05,0.0
196,2.4162320642062696e-06,-0.6370289921760559,157.6,-0.6377102732658386,2e-05,0.0
197,2.5045633265108336e-06,-0.6370289921760559,158.4,-0.6376102566719055,2e-05,0.0
198,2.5916679078363813e-06,-0.6367223262786865,159.2,-0.6375102400779724,2e-05,0.0
199,2.6965615234075813e-06,-0.6367223262786865,160.0,-0.6374102234840393,2e-05,0.0
200,2.779372380246059e-06,-0.6367223262786865,160.8,-0.637310266494751,2e-05,0.0
201,2.8333524824120104e-06,-0.6364156007766724,161.6,-0.6372102499008179,2e-05,0.0
202,2.895920715673128e-06,-0.6364156007766724,162.4,-0.6371102333068848,2e-05,0.0
203,2.9259779239509953e-06,-0.6364156007766724,163.2,-0.6370102763175964,2e-05,0.0
204,3.046206757062464e-06,-0.6364156007766724,164.0,-0.6369102597236633,2e-05,0.0
205,3.079944463024731e-06,-0.6361088752746582,164.8,-0.6368102431297302,2e-05,0.0
206,3.1063211736181984e-06,-0.6361088752746582,165.6,-0.6367102265357971,2e-05,0.0
207,3.097120043094037e-06,-0.6361088752746582,166.4,-0.6366102695465088,2e-05,0.0
