,current,potential,elapsed_time,applied_potential,current_range,segment
0,-1.8408253765755944e-07,-0.5376561880111694,1.0,0.0,0.002,0.0
1,-1.2274126959255227e-07,-0.538269579410553,2.0,0.0,0.002,0.0
2,-1.8408253765755944e-07,-0.5379628539085388,3.0,0.0,0.002,0.0
3,-1.8408253765755944e-07,-0.5385763049125671,4.0,0.0,0.002,0.0
4,-1.8408253765755944e-07,-0.5391896963119507,5.0,0.0,0.002,0.0
5,-1.2274126959255227e-07,-0.5391896963119507,6.0,0.0,0.002,0.0
6,-1.2274126959255227e-07,-0.5404165387153625,7.0,0.0,0.002,0.0
7,-2.454237915117119e-07,-0.5410299301147461,8.0,0.0,0.002,0.0
8,-2.454237915117119e-07,-0.5410299301147461,9.0,0.0,0.002,0.0
9,-1.2274126959255227e-07,-0.5419500470161438,10.0,0.0,0.002,0.0
10,-1.8408253765755944e-07,-0.5437902808189392,11.0,0.0,0.002,0.0
11,-2.454237915117119e-07,-0.5453237891197205,12.0,0.0,0.002,0.0
12,-1.8408253765755944e-07,-0.5471640825271606,13.0,0.0,0.002,0.0
13,-6.14000015275451e-08,-0.5505378246307373,14.0,0.0,0.002,0.0
14,-1.2274126959255227e-07,-0.5523780584335327,15.0,0.0,0.002,0.0
15,-6.14000015275451e-08,-0.55544513463974,16.0,0.0,0.002,0.0
16,-1.2274126959255227e-07,-0.5588188767433167,17.0,0.0,0.002,0.0
17,-1.8408253765755944e-07,-0.5603524446487427,18.0,0.0,0.002,0.0
18,-1.8408253765755944e-07,-0.5624993443489075,19.0,0.0,0.002,0.0
19,-1.8408253765755944e-07,-0.5643396377563477,20.0,0.0,0.002,0.0
20,-1.2274126959255227e-07,-0.5655664205551147,21.0,0.0,0.002,0.0
21,-1.2274126959255227e-07,-0.5667932629585266,22.0,0.0,0.002,0.0
22,-1.8408253765755944e-07,-0.5677133798599243,23.0,0.0,0.002,0.0
23,-2.454237915117119e-07,-0.5695536136627197,24.0,0.0,0.002,0.0
24,-2.454237915117119e-07,-0.5689402222633362,25.0,0.0,0.002,0.0
25,-6.14000015275451e-08,-0.5704737305641174,26.0,0.0,0.002,0.0
26,-1.8408253765755944e-07,-0.572620689868927,27.0,0.0,0.002,0.0
27,-2.454237915117119e-07,-0.5729274153709412,28.0,0.0,0.002,0.0
28,-2.454237915117119e-07,-0.572620689868927,29.0,0.0,0.002,0.0
29,-1.8408253765755944e-07,-0.5735408067703247,30.0,0.0,0.002,0.0
30,-1.2274126959255227e-07,-0.5738475322723389,31.0,0.0,0.002,0.0
31,-1.8408253765755944e-07,-0.5735408067703247,32.0,0.0,0.002,0.0
32,-1.8408253765755944e-07,-0.5735408067703247,33.0,0.0,0.002,0.0
33,-1.2274126959255227e-07,-0.5741541981697083,34.0,0.0,0.002,0.0
34,-1.2274126959255227e-07,-0.5729274153709412,35.0,0.0,0.002,0.0
35,-1.8408253765755944e-07,-0.5729274153709412,36.0,0.0,0.002,0.0
36,-1.2274126959255227e-07,-0.572620689868927,37.0,0.0,0.002,0.0
37,-2.454237915117119e-07,-0.5732340812683105,38.0,0.0,0.002,0.0
38,-2.454237915117119e-07,-0.5720072984695435,39.0,0.0,0.002,0.0
39,-1.8408253765755944e-07,-0.5729274153709412,40.0,0.0,0.002,0.0
40,-1.2274126959255227e-07,-0.572620689868927,41.0,0.0,0.002,0.0
41,-2.454237915117119e-07,-0.571087121963501,42.0,0.0,0.002,0.0
42,-6.14000015275451e-08,-0.571087121963501,43.0,0.0,0.002,0.0
43,-2.454237915117119e-07,-0.5717005729675293,44.0,0.0,0.002,0.0
44,-2.454237915117119e-07,-0.5707804560661316,45.0,0.0,0.002,0.0
45,-2.454237915117119e-07,-0.5707804560661316,46.0,0.0,0.002,0.0
46,-1.8408253765755944e-07,-0.5707804560661316,47.0,0.0,0.002,0.0
47,-1.2274126959255227e-07,-0.5701670050621033,48.0,0.0,0.002,0.0
48,-2.454237915117119e-07,-0.5689402222633362,49.0,0.0,0.002,0.0
49,-2.454237915117119e-07,-0.5692468881607056,50.0,0.0,0.002,0.0
50,-1.8408253765755944e-07,-0.5695536136627197,51.0,0.0,0.002,0.0
51,-1.2274126959255227e-07,-0.5680201053619385,52.0,0.0,0.002,0.0
52,-1.8408253765755944e-07,-0.5674066543579102,53.0,0.0,0.002,0.0
53,-1.8408253765755944e-07,-0.5689402222633362,54.0,0.0,0.002,0.0
54,-1.2274126959255227e-07,-0.5677133798599243,55.0,0.0,0.002,0.0
55,-1.2274126959255227e-07,-0.5664865374565125,56.0,0.0,0.002,0.0
56,-5.873197761463445e-11,-0.5670999884605408,57.0,0.0,0.002,0.0
57,-6.14000015275451e-08,-0.5664865374565125,58.0,0.0,0.002,0.0
58,-6.14000015275451e-08,-0.5664865374565125,59.0,0.0,0.002,0.0
59,-6.14000015275451e-08,-0.5674066543579102,60.0,0.0,0.002,0.0
60,-5.873197761463445e-11,-0.5670999884605408,61.0,0.0,0.002,0.0
61,-6.14000015275451e-08,-0.5661798715591431,62.0,0.0,0.002,0.0
62,-1.2274126959255227e-07,-0.5717005729675293,63.0,0.0,0.002,0.0
63,-6.14000015275451e-08,-0.5723139643669128,64.0,0.0,0.002,0.0
64,6.128253460246924e-08,-0.5713938474655151,65.0,0.0,0.002,0.0
65,6.128253460246924e-08,-0.5720072984695435,66.0,0.0,0.002,0.0
66,6.128253460246924e-08,-0.5729274153709412,67.0,0.0,0.002,0.0
67,-6.14000015275451e-08,-0.5720072984695435,68.0,0.0,0.002,0.0
68,-5.873197761463445e-11,-0.5713938474655151,69.0,0.0,0.002,0.0
69,-5.873197761463445e-11,-0.5723139643669128,70.0,0.0,0.002,0.0
70,-5.873197761463445e-11,-0.572620689868927,71.0,0.0,0.002,0.0
71,1.8396507073248358e-07,-0.571087121963501,72.0,0.0,0.002,0.0
72,6.128253460246924e-08,-0.5720072984695435,73.0,0.0,0.002,0.0
73,1.226238026674764e-07,-0.5741541981697083,74.0,0.0,0.002,0.0
